base_x,base_y,base_p,MCP1_x,MCP1_y,MCP1_p,PIP1_x,PIP1_y,PIP1_p,tip1_x,tip1_y,tip1_p,MCP2_x,MCP2_y,MCP2_p,PIP2_x,PIP2_y,PIP2_p,DIP2_x,DIP2_y,DIP2_p,tip2_x,tip2_y,tip2_p
1.580720186,4.763070524,0.00037995,1.756633043,-1.38014555,0.000372797,-0.904622555,389.0777019,0.000938505,3.450242758,385.794173,0.009329706,4.191572458,364.2572922,0.018034488,6.35910964,405.4390099,0.000727445,7.559746265,378.6625478,0.005030572,12.68085933,388.0620537,0.346467346
0.913710833,4.779954076,0.000418246,1.689757109,-1.729256153,0.000398725,-0.963311195,389.0283978,0.000903249,3.427482188,385.8243091,0.008949578,4.077916436,364.2355097,0.016055226,6.308653116,405.4999411,0.00074324,7.519012451,378.6714356,0.004865527,12.67491245,388.044241,0.336262465
1.458666325,4.760214388,0.000513822,1.678700447,-1.438691616,0.000447959,0.480972052,-0.368224621,0.000484079,-0.438159943,1.426563025,0.00039959,1.704931498,1.488347769,0.000491053,3.500276208,2.323074698,0.000428438,0.632402658,1.283690929,0.000311285,6.930200338,0.236029863,0.005720288
1.352858305,4.886063755,0.000497729,1.721758604,-1.656197548,0.000456929,0.575400352,-0.338121891,0.000484228,-0.422056675,1.480714083,0.000410348,1.643569469,1.449381113,0.000488043,3.568180799,2.34663403,0.000430912,0.566022873,1.303077936,0.000297576,6.935622931,0.304711103,0.005414099
1.645463943,4.862431049,0.000586182,1.767179966,-1.853244305,0.000607848,0.601335764,-0.74085331,0.00060454,-0.628498554,0.961011887,0.000488192,1.772159338,1.576452017,0.00065124,3.682589918,3.093648851,0.000555485,0.774864197,1.342221975,0.000338197,6.39420414,0.706785917,0.005309761
1.497742653,5.045077562,0.000615001,1.795077085,-2.244954586,0.000554085,0.56961751,-0.667723656,0.000639975,-0.7204566,1.049018145,0.00056982,1.967140198,1.256030321,0.000674695,3.647637576,3.189744294,0.000512779,0.805288076,1.165098906,0.000382483,6.774957657,0.758792639,0.005677849
1.362834692,4.844079375,0.000558704,1.791310072,-1.822655201,0.000574738,0.375733614,-0.883187771,0.000549346,-0.570224762,1.221531391,0.000480205,1.850068092,1.46783638,0.000574172,3.729714155,3.051496923,0.000552326,0.850344658,1.144843817,0.000313073,6.73142004,0.482207775,0.004330069
1.372404575,4.928141534,0.000438631,1.795954227,-1.858039379,0.000475407,0.370024681,-0.864502907,0.00042057,-0.408106804,1.515477896,0.000343382,1.596877337,1.661994934,0.000462711,3.760985881,2.825676203,0.000464648,0.530266762,1.071585417,0.000242591,6.902733803,0.426420212,0.003492266
1.013076305,4.766693652,0.000421226,1.960374355,-2.037494659,0.000444114,0.234170914,-0.581782818,0.000406593,-0.530260563,1.349778175,0.000393838,1.986435413,1.20083189,0.000431597,3.269114912,2.686632276,0.000441134,0.646054268,0.984187603,0.000290364,6.985880375,0.279168367,0.003572822
1.048812151,4.704428077,0.000411242,2.072413921,-2.028048515,0.000444949,0.527074575,-0.322390079,0.000405014,-0.515039444,1.605951548,0.000385612,1.79793334,1.129680157,0.000404149,3.25639987,2.454813004,0.000429034,0.547496796,0.918093443,0.000302285,7.183973074,0.399772167,0.00358355
1.070775986,4.689665794,0.000399411,2.041498303,-1.990730286,0.000429243,0.48946929,-0.377057552,0.000395358,-0.537947178,1.52958107,0.0003784,1.823732376,1.150576353,0.000397891,3.25601238,2.501847506,0.000415146,0.572868109,0.85976243,0.000303239,7.159243107,0.394533396,0.003602773
1.067470312,4.676406682,0.000395864,2.049837947,-1.99950695,0.00042817,0.512772083,-0.315758228,0.000394046,-0.524434566,1.611103773,0.000376493,1.789861679,1.121951818,0.000391871,3.253608346,2.432577014,0.000414193,0.545189381,0.869027138,0.000300109,7.219774723,0.378648281,0.003558457
0.999829531,4.679286242,0.000417143,1.870444298,-1.979301453,0.000433743,0.181191444,-0.58282423,0.00039643,-0.541413784,1.355085611,0.000376344,1.921272516,1.185921192,0.00042358,3.28835094,2.694408059,0.000429004,0.654531002,1.019228458,0.000286311,7.006013632,0.292564154,0.00351584
0.971006393,4.603904665,0.000401676,1.96195364,-1.909927845,0.000448376,0.367914438,-0.529082298,0.000389159,-0.546931744,1.516009092,0.000345707,1.867599964,1.2626369,0.00042671,3.361854732,2.627516985,0.000438213,0.595965862,1.000500679,0.00027898,6.892690897,0.34187746,0.003245801
