scorer,DLC_resnet50_AppleMachineJan6shuffle1_10000,DLC_resnet50_AppleMachineJan6shuffle1_10000,DLC_resnet50_AppleMachineJan6shuffle1_10000,DLC_resnet50_AppleMachineJan6shuffle1_10000,DLC_resnet50_AppleMachineJan6shuffle1_10000,DLC_resnet50_AppleMachineJan6shuffle1_10000,DLC_resnet50_AppleMachineJan6shuffle1_10000,DLC_resnet50_AppleMachineJan6shuffle1_10000,DLC_resnet50_AppleMachineJan6shuffle1_10000,DLC_resnet50_AppleMachineJan6shuffle1_10000,DLC_resnet50_AppleMachineJan6shuffle1_10000,DLC_resnet50_AppleMachineJan6shuffle1_10000
bodyparts,left_top,leftt_top,left_top,leftt_bottom,left_bottom,left_bottom,right_top,right_top,right_top,right_bottom,right_bottom,right_bottom
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,328.2330213,155.390028,0.999735355,334.0360532,411.3758277,0.999760389,513.8654177,151.8684349,0.999665558,514.4972055,405.7965097,0.999896646
1,328.2537355,155.3205633,0.999713421,334.0293808,411.410549,0.999773502,513.6630409,152.4167361,0.999713302,513.9557467,405.7668186,0.999890804
2,328.2717633,155.3149757,0.999706268,334.0981278,411.4105771,0.999784112,513.6517093,152.4627972,0.999689937,513.8773322,405.865472,0.999894321
3,328.2457051,155.3115654,0.999710798,334.0379257,411.4195222,0.999782324,513.5831409,152.4720554,0.999707341,513.950145,405.7681009,0.999890983
4,328.2425785,155.3620892,0.999708891,334.1587219,411.2954699,0.999779105,515.8152618,153.8018272,0.999704897,513.3654892,406.1114147,0.999888539
5,328.2284431,155.3595543,0.999706149,334.1268053,411.2147428,0.999768376,514.2482715,153.2541413,0.999757349,513.1314335,406.1594083,0.99988246
6,328.2286706,155.3599453,0.99970603,334.1272273,411.2120536,0.999768496,514.2482975,153.2541647,0.999757409,513.1314528,406.1594088,0.99988246
7,328.1935897,155.3453007,0.999713659,334.1251779,411.2155032,0.999772429,514.2790648,153.1688929,0.99976778,513.3039708,406.1844854,0.999883533
8,328.2665319,155.3415966,0.999708056,334.1403837,411.2182004,0.999777853,514.1705146,153.384295,0.999759495,513.0232458,406.1228797,0.999879599
9,328.3112445,155.3064823,0.999695778,334.1358304,411.1986266,0.999775231,514.2913804,153.2087455,0.999777436,513.1957858,406.4008873,0.999886513
10,328.3249946,155.3084793,0.999694228,334.1167603,411.1834751,0.999772847,514.2702512,153.2454309,0.999776721,513.1927164,406.4061162,0.99988687
11,328.3645387,155.3159857,0.999688268,334.1485019,411.169174,0.999776602,514.2913275,153.2213421,0.999777317,513.2100058,406.2665484,0.999887764
12,328.3418674,155.3266106,0.999696851,334.149478,411.1766056,0.999773383,514.5223129,153.2005143,0.999776423,513.0835166,406.1790333,0.999881744
13,328.3427858,155.321125,0.999706984,334.1534162,411.2741762,0.999764204,514.7489676,152.825799,0.999816179,513.0572338,406.2597003,0.999874115
14,328.3415742,155.3143578,0.999706984,334.162488,411.2683486,0.999764323,514.7676466,152.8193097,0.999814808,513.0565295,406.2584589,0.999874115
15,328.3439503,155.3303089,0.999707639,334.2044444,411.2326647,0.999769926,514.7475114,152.8036809,0.99981612,513.0166738,406.2594368,0.999875188
16,328.3576012,155.2819099,0.999707937,334.1727347,411.2402649,0.999774396,514.5737299,152.9710174,0.999800861,513.0303204,406.1441562,0.99987638
17,328.3574491,155.2962227,0.999705613,334.0801215,411.2894742,0.999767661,514.6453075,152.6144395,0.999824345,513.3143618,406.1761739,0.999865294
18,328.3508339,155.2987738,0.999706149,334.0905204,411.2047011,0.999769211,514.4929268,152.6725655,0.999809742,513.3076787,406.1731694,0.999865294
19,328.3655744,155.3270693,0.999709606,334.1017833,411.2940224,0.999771714,514.638983,152.8447871,0.999796808,513.2386787,405.9785594,0.99986279
20,328.3830013,155.2763109,0.999703586,334.1536899,411.327127,0.999774456,514.3900287,152.9492717,0.999786973,513.0053372,406.3014846,0.999869704
21,328.3101196,155.3054581,0.999718606,334.155045,411.3529412,0.99978292,514.2701849,153.1238303,0.999787331,513.1633401,406.1109767,0.999874473
22,328.2839074,155.3099432,0.999716997,334.1497965,411.3498172,0.999780715,514.270686,153.1200576,0.999787331,513.1594679,406.1397974,0.999874234
23,328.3139343,155.3033695,0.999718249,334.1628647,411.3604943,0.999781966,514.2946731,153.0799208,0.999787927,513.1722686,406.1320691,0.999875426
24,328.311914,155.1996136,0.999716401,334.1561966,411.3935189,0.999782145,514.4253227,152.8828321,0.999793649,513.0572381,406.2326093,0.999869943
25,328.2863998,155.3281593,0.999701023,334.1444526,411.4356911,0.999778748,513.8999457,152.8904915,0.99977982,513.2941365,406.1256514,0.999876559
26,328.2860875,155.3353252,0.999701619,334.1662316,411.4303181,0.999777794,513.7947419,152.8295655,0.999779582,513.289778,406.1194532,0.999876261
27,328.3301506,155.3405561,0.999699473,334.1428137,411.4172505,0.999777734,513.6739888,153.115479,0.999726534,513.4049888,406.2521405,0.999869704
28,328.3311176,155.3470774,0.99970448,334.1998777,411.4330109,0.9997769,513.8697345,153.1369853,0.999748409,513.1288638,406.2673531,0.999870956
29,328.3505702,155.3696718,0.999705195,334.1876516,411.4257524,0.999768198,514.0529561,153.0156937,0.999751329,513.3556144,406.2543168,0.999866784
30,328.3129578,155.3126564,0.999708176,334.171556,411.3888095,0.999758124,514.0676923,153.0396605,0.999750972,513.356288,406.2538102,0.999866843
31,328.3650508,155.3827734,0.999701977,334.1507463,411.4020905,0.99975729,514.0632819,153.0366559,0.999751031,513.3655922,406.2745852,0.999866903
32,328.3896556,155.3597059,0.999706745,334.2256627,411.4725074,0.999757349,513.8827932,153.2309117,0.999736905,513.1758196,406.1620357,0.99987483
33,328.4257259,155.4760427,0.999686003,334.1858821,411.4692874,0.999763191,513.7656274,153.3321872,0.999761879,512.9558821,405.9486078,0.999870598
34,328.4286127,155.4684563,0.999685764,334.1893058,411.4607841,0.999778807,514.0495059,153.2179875,0.999767005,512.9789851,406.002156,0.999871552
35,328.4350462,155.4520626,0.999679148,334.1578078,411.4749169,0.9997679,514.32652,153.2289681,0.999769688,513.0277231,406.0443745,0.999870658
36,328.3807287,155.3178682,0.999679148,334.1564641,411.4327031,0.99975878,514.0472773,153.1551576,0.99977541,512.891346,405.9518805,0.999869704
37,328.2782397,155.3880243,0.999686241,334.1998606,411.4206924,0.999766707,514.1886016,153.0537744,0.999790907,512.692277,405.8690833,0.999860644
38,328.2764473,155.3619614,0.999680519,334.1808953,411.4385404,0.999780536,514.3364369,152.935813,0.999798298,512.8012977,405.9630591,0.999868691
39,327.5758924,157.2314227,0.999649227,334.2739553,411.3011447,0.999766767,514.8070003,153.3031473,0.999801636,513.0098724,405.8998017,0.999870121
40,327.5671582,157.2665837,0.999651551,334.2348847,411.2802498,0.999769211,514.701641,152.9028311,0.999798775,512.9570029,405.8224511,0.99987638
41,327.8604453,157.5379318,0.999612331,334.220252,411.2975602,0.999777555,514.5965141,153.0644298,0.999798059,513.1696129,405.8529083,0.999876738
42,328.8025522,155.5335951,0.999621451,334.2297916,411.2663668,0.999780357,514.6257573,153.0776734,0.999815822,513.1541929,405.8199281,0.999876976
43,328.0034575,157.6217161,0.999593675,334.2396903,411.2616342,0.999767244,514.5361327,153.2889762,0.999815702,513.0582507,405.8402991,0.999875128
44,328.0127625,157.6356456,0.999597311,334.1774106,411.220459,0.999770284,514.5976202,153.1255407,0.999831557,512.8562851,405.7239656,0.999877691
45,328.6934094,157.3420867,0.999431193,334.2128549,411.2097151,0.999779522,514.7194381,153.264895,0.99982512,512.7354023,405.8844227,0.99987483
46,328.7356195,157.3472975,0.999417543,334.1945062,411.2501103,0.999778867,514.5565429,153.2465158,0.999817908,512.7319357,405.9275017,0.999874711
47,329.0446758,158.025279,0.999435544,334.1958318,411.2512017,0.99977529,514.3778042,153.1874752,0.999797463,512.7380044,405.8235053,0.999874234
48,329.0377088,158.0302017,0.999434114,333.973114,411.3835398,0.999778032,514.606859,153.2002587,0.999779105,512.5516756,405.7011621,0.999869108
49,328.2590389,158.311727,0.999620318,334.079247,411.21473,0.999774933,514.6280676,153.210515,0.9997859,512.670846,405.6466986,0.999873638
50,327.949795,158.1491952,0.999676883,334.1448536,411.2459456,0.999776959,514.3403414,153.4803801,0.999733448,512.7525213,405.8302958,0.999869347
51,328.3359861,156.9975791,0.999680221,334.0432076,411.2741946,0.999770582,514.3145348,153.4234533,0.999755025,512.8566961,405.8469834,0.9998734
52,328.1516681,156.6993546,0.999721885,334.2352586,411.0293365,0.999768555,514.3937088,153.3070936,0.999763429,512.8827841,405.6735665,0.99987638
53,328.1529427,156.7242141,0.999716043,334.0068378,411.0959765,0.999756098,514.3215184,153.3849816,0.999778032,513.0397186,405.7785598,0.999875784
54,328.165699,156.7320848,0.999712348,334.0035357,411.095101,0.999756455,514.3285806,153.3965254,0.999771118,513.1330166,405.8035786,0.999875665
55,328.2794662,156.5866828,0.999703288,334.071291,411.0546983,0.999756098,514.306206,153.3522029,0.999770761,513.0406389,405.8665477,0.9998734
56,328.2891221,156.5622463,0.999697685,334.0889444,411.0882556,0.999770224,514.3502115,153.3386035,0.999764323,512.8971114,405.7426251,0.999873519
57,328.4678664,156.6161098,0.999708295,333.9113464,411.1200503,0.999775112,514.3300877,153.5078521,0.99975884,512.9609258,405.8757756,0.999874353
58,328.4286952,156.6040163,0.999707162,333.9215736,411.1376011,0.999777913,514.3248841,153.5119605,0.999753892,512.9604425,405.8770654,0.999874353
59,328.181704,156.3722529,0.999819398,333.7158384,411.136588,0.999764919,514.2995535,153.3749704,0.999760628,513.072032,405.6164989,0.999875009
60,328.1800103,156.2848206,0.999820232,333.6179304,411.0695429,0.999761045,515.6039499,154.0162977,0.999729872,513.034306,406.2484193,0.999873281
61,327.0221267,157.6597962,0.999811769,333.5617399,411.2250147,0.999763668,515.309815,154.3044688,0.999720931,513.3886702,406.0973809,0.999884486
62,326.864187,157.6742454,0.999817252,333.5547032,411.2796801,0.999763966,515.1388245,154.2160192,0.99972558,513.2700322,406.6247592,0.999847531
63,328.3679123,156.3954773,0.99951005,333.5865893,411.2394781,0.999763489,515.1655019,154.2793264,0.999724567,513.0542951,406.5736704,0.999853671
64,328.3990378,156.3589573,0.99949944,333.5452137,411.2279177,0.99976337,514.343693,153.3572869,0.999705672,512.7741039,406.510478,0.999847412
65,327.8094623,155.9998207,0.999551892,333.5516095,411.2111515,0.999766052,514.3137017,153.4839287,0.999706984,512.5125136,406.7258277,0.999830961
66,327.8096602,155.8831596,0.999558687,333.5504565,411.2056729,0.999765515,514.3015192,153.4564147,0.999707699,512.5686097,407.0070245,0.99984014
67,330.0134263,156.456243,0.999417067,333.5588841,411.2139325,0.9997648,514.2865222,153.4132791,0.999713421,512.4837954,407.1854391,0.999839365
68,329.9880099,156.567647,0.999447525,333.5383306,411.2272935,0.99976933,514.3512381,153.3522234,0.999720454,512.7241549,407.0041864,0.999842286
69,329.2609587,157.0777917,0.99974823,333.5733213,411.2203402,0.999780178,514.3337804,153.3644838,0.999717593,512.6644504,407.5261762,0.999848783
70,329.2912121,157.2413301,0.999752164,333.5113049,411.2024645,0.999774456,514.3527218,153.3616538,0.999715447,513.105526,407.1335435,0.999854505
71,330.4042406,157.8160806,0.999769092,333.5179358,411.2194377,0.999761164,514.3539481,153.3303089,0.999720633,513.1656141,407.0988562,0.999854803
72,330.3628721,157.8889809,0.999754071,333.5351038,411.2226909,0.999757051,515.2655826,153.987684,0.999705434,513.2553306,407.2702832,0.999866128
73,329.3404899,158.3393664,0.999694347,333.541667,411.2079394,0.999755442,514.279929,153.3273869,0.999727249,513.1660175,406.8534603,0.999856234
74,330.3445954,158.5975394,0.999723315,333.543982,411.1598033,0.999761105,514.2736137,153.4165602,0.999719143,513.0975871,406.7231317,0.999854445
75,330.5150585,158.8529468,0.999651909,333.5252724,411.2073381,0.999749541,514.2811905,153.4099164,0.999717951,513.052912,406.8276322,0.999856293
76,330.2881393,159.158505,0.999631464,333.57971,411.22821,0.999750316,514.6456087,153.4348097,0.999714851,513.0691214,406.7044537,0.999856055
77,330.2981877,158.9037552,0.999641955,333.6033306,411.2362379,0.999757409,514.5532268,153.4999337,0.999704301,512.5496981,406.9385459,0.999846339
78,330.2929354,158.7537055,0.999635577,333.6067619,411.2132169,0.999757886,515.4699955,153.9001105,0.999703109,512.5369725,406.9299357,0.999851704
79,329.5965605,159.2488928,0.999612451,333.6219921,411.2293949,0.999748945,515.4721552,153.8955085,0.999703109,512.3696322,406.7870457,0.999842048
80,329.4238944,159.1402726,0.999641836,333.5998826,411.2945617,0.99974966,514.6746237,153.4152927,0.999705434,512.70315,406.5513296,0.999851942
81,329.812305,158.5558858,0.999580503,333.6942248,411.2096075,0.999755323,515.5478942,153.9622173,0.999705672,512.6683083,406.6448376,0.999855936
82,329.7253313,158.7836695,0.999557018,333.7139239,411.2383695,0.999755383,515.5487894,153.9629245,0.999706686,512.7727287,406.7614279,0.999869108
83,329.8505898,159.6228571,0.999520659,333.7108059,411.2570558,0.999758184,515.5644225,153.968575,0.999705791,512.6527436,406.6545355,0.999855638
84,330.0257282,159.8047085,0.999480009,333.7652197,411.1033319,0.999771476,515.5333325,154.1161833,0.999704242,512.9806385,406.1256111,0.999835908
85,328.9309592,157.9659327,0.999314427,333.827734,411.1190608,0.999774098,515.5413185,153.9629271,0.999687374,512.6591444,406.2749879,0.999840617
86,328.9698386,157.9547126,0.999276638,333.8433948,411.0934095,0.99976337,515.5430742,153.9553297,0.999687791,512.718307,406.252275,0.999842644
87,328.9114296,159.0677943,0.999314427,333.8539629,411.1150886,0.999769747,514.6714487,153.4298291,0.999690652,512.7059433,406.2942929,0.999840736
88,330.4384451,158.605485,0.99930954,333.8158779,411.1826668,0.999780297,514.7826288,153.5801721,0.999698341,512.655628,406.4411952,0.999830842
89,329.6217151,157.5508491,0.999243498,333.6610198,411.1717642,0.999753594,515.4463183,154.3388771,0.999695778,512.2511699,406.3941665,0.999811172
90,329.3879824,157.0790874,0.999367118,333.5531831,411.0944504,0.999740541,515.0788977,153.3698697,0.999717236,512.0059886,406.0507684,0.999829531
91,330.360749,155.4530201,0.998876452,331.5844969,408.7101402,0.999699175,515.2776644,152.8866534,0.999748588,511.683073,406.0389807,0.999805093
92,330.931281,155.1639271,0.999138832,331.5327236,408.7435641,0.999716997,515.1456202,152.2198315,0.999827385,511.7131901,405.5787196,0.999686718
93,333.6033366,152.6123857,0.999582052,329.8323338,405.796784,0.999837518,515.0492809,151.7147584,0.999851346,511.3861394,405.2625731,0.999638319
94,333.6924179,152.616107,0.999578714,329.8563077,405.7990631,0.999835253,515.3645823,151.5540988,0.99985832,511.7949662,405.0901846,0.999750137
95,333.7830887,152.611908,0.999575257,330.0070043,405.7518195,0.999837875,515.4181381,151.4938645,0.999852717,511.8746195,405.1166446,0.99977231
96,333.904611,152.5678878,0.99956429,330.0366203,405.7425044,0.999832749,515.5463069,151.6525283,0.999875665,511.7444205,405.3894494,0.999798059
